movie_name,quote,ranking,score,score_num
肖申克的救赎,希望让人自由。,1,9.7,2731231
霸王别姬,风华绝代。,2,9.6,2023737
阿甘正传,一部美国近现代史。,3,9.5,2049033
泰坦尼克号,失去的才是永恒的。 ,4,9.4,2008061
这个杀手不太冷,怪蜀黍和小萝莉不得不说的故事。,5,9.4,2189922
美丽人生,最美的谎言。,6,9.6,1257708
千与千寻,最好的宫崎骏，最好的久石让。 ,7,9.4,2124144
辛德勒的名单,拯救一个人，就是拯救整个世界。,8,9.6,1049618
盗梦空间,诺兰给了我们一场无法盗取的梦。,9,9.4,1959440
星际穿越,爱是一种力量，让我们超越时空感知它的存在。,10,9.4,1683773
忠犬八公的故事,永远都不能忘记你所爱的人。,11,9.4,1335380
楚门的世界,如果再也不能见到你，祝你早安，午安，晚安。,12,9.4,1586180
海上钢琴师,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,13,9.3,1596346
三傻大闹宝莱坞,英俊版憨豆，高情商版谢耳朵。,14,9.2,1772939
机器人总动员,小瓦力，大人生。,15,9.3,1253243
放牛班的春天,天籁一般的童声，是最接近上帝的存在。 ,16,9.3,1236027
无间道,香港电影史上永不过时的杰作。,17,9.3,1276228
疯狂动物城,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,18,9.2,1808321
大话西游之大圣娶亲,一生所爱。,19,9.2,1456433
控方证人,比利·怀德满分作品。,20,9.6,502225
熔炉,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,21,9.4,887123
教父,千万不要记恨你的对手，这样会让你失去理智。,22,9.3,909750
当幸福来敲门,平民励志片。 ,23,9.2,1445845
触不可及,满满温情的高雅喜剧。,24,9.3,1035593
怦然心动,真正的幸福是来自内心深处。,25,9.1,1738637
龙猫,人人心中都有个龙猫，童年就永远不会消失。,26,9.2,1200384
末代皇帝,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,27,9.3,820758
寻梦环游记,死亡不是真的逝去，遗忘才是永恒的消亡。,28,9.1,1564430
蝙蝠侠：黑暗骑士,无尽的黑暗。,29,9.2,1002630
活着,张艺谋最好的电影。,30,9.3,790762
哈利·波特与魔法石,童话世界的开端。,31,9.2,1105875
